"N","Author","Year","Phase1.m.ori","Phase1.m","Experimental.setting","rr","var","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder"
"37","Yelenik,2011","2011","Field","Field","Field","-1.631177899","0.076224825","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"38","Yelenik,2011","2011","Field","Field","Field","-0.301094182","0.453124879","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"39","Yelenik,2011","2011","Field","Field","Field","0.134633726","0.282754903","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"40","Yelenik,2011","2011","Field","Field","Field","-0.83308803","0.176396078","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"41","Yelenik,2011","2011","Field","Field","Field","-0.202538252","0.112740746","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"42","Rodríguez-Echeverría,2013,PE","2013","Field","Field","Greenhouse","0.542537001","0.033489105","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"43","Rodríguez-Echeverría,2013,PE","2013","Field","Field","Greenhouse","0.642252755","0.043191068","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"44","Rodríguez-Echeverría,2013,PE","2013","Field","Field","Greenhouse","0.322900627","0.043358054","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"45","Rodríguez-Echeverría,2013,PE","2013","Field","Field","Greenhouse","0.399566509","0.035431747","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"46","Gundale et al. 2014","2014","Field","Field","Greenhouse","-0.19514582","0.012962958","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
