"N","Author","Year","Phase1.m.ori","Phase1.m","Experimental.setting","rr","var","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder"
"425","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.000806127","0.007869594","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"426","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.032529643","0.007273592","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"427","Liang et al. 2015","2015","Field","Field","Greenhouse","0.00809721","0.015387681","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"428","Liang et al. 2015","2015","Field","Field","Greenhouse","0.177936958","0.022556724","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"429","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.021528465","0.027997762","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"430","Liang et al. 2015","2015","Field","Field","Greenhouse","0.177936958","0.025070934","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"431","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.032121353","0.016052172","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"432","Liang et al. 2015","2015","Field","Field","Greenhouse","0.191022198","0.018606084","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"433","Liang et al. 2015","2015","Field","Field","Greenhouse","0.102829486","0.023538448","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"434","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.102581352","0.003897519","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"435","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.065366188","0.002952141","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"436","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.102642787","0.002852663","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"437","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.039730128","0.003026853","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"438","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.065366188","0.002150263","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"439","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.026661357","0.003067434","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"440","Liang et al. 2015","2015","Field","Field","Greenhouse","0.502167561","0.004750701","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"441","Liang et al. 2015","2015","Field","Field","Greenhouse","0.471047652","0.007042669","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"442","Liang et al. 2015","2015","Field","Field","Greenhouse","0.59511782","0.006548366","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"443","Liang et al. 2015","2015","Field","Field","Greenhouse","0.51227595","0.003692991","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"444","Liang et al. 2015","2015","Field","Field","Greenhouse","0.55831229","0.00622383","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"445","Liang et al. 2015","2015","Field","Field","Greenhouse","0.211854852","0.005981077","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"446","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.133567332","0.019554337","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"447","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.117846927","0.017902443","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"448","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.223212554","0.017473126","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"449","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.208826483","0.017526548","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"450","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.17941817","0.016530833","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"451","Liang et al. 2015","2015","Field","Field","Greenhouse","-0.08559193","0.025334995","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"452","Bayandala et al. 2016","2016","Field","Field","Field","-0.693147181","0.117022917","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"453","Bayandala et al. 2016","2016","Field","Field","Field","0.057158414","0.084396169","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"454","Bayandala et al. 2016","2016","Field","Field","Field","-0.538996501","0.094764555","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"455","Bayandala et al. 2016","2016","Field","Field","Field","-1.728389855","0.067529695","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"456","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.134712728","0.134108149","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"457","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.399933683","0.080278689","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"458","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.385567914","0.257449371","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"459","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.257076623","0.215153298","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"460","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.167487767","0.293584906","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"461","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.250777516","0.101313888","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"462","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.444761012","0.099865203","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"463","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.183073719","0.081806266","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"464","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.327347329","0.019522223","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"465","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.143100844","0.064534024","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"466","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.778342027","0.023533406","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"467","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.016807118","0.09864712","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"468","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.056618894","0.04998528","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"469","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.182688597","0.032873902","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"470","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.066375069","0.043114993","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"471","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.28219258","0.060725275","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"472","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.034133006","0.240788503","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"473","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.287682072","0.195408951","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"474","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.250542526","0.131964402","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"475","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.013986242","0.115546538","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"476","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.158111081","0.046164709","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"477","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.062800901","0.102206203","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"478","Nagendra et al. 2016","2016","Field","Field","Greenhouse","0.233614851","0.041329193","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"479","Nagendra et al. 2016","2016","Field","Field","Greenhouse","-0.348306694","0.125261948","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"480","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.250610946","0.010082478","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"481","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.337381741","0.015644175","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"482","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.264974745","0.004116384","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"483","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.011461444","0.005198207","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"484","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.536118801","0.009898841","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"485","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.603150727","0.008028472","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"486","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.780158558","0.006663053","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"487","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.844082424","0.018427674","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"488","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.448216275","0.034347957","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"489","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.334260662","0.012743518","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"490","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.545016989","0.029935957","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"491","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.431702738","0.021661059","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"492","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.3074847","0.015659991","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"493","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.144418243","0.005946748","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"494","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.106710955","0.006586823","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"495","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.491822677","0.016631307","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"496","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.041158072","0.004099839","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"497","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.037155977","0.019873588","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"498","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.01415118","0.00586546","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"499","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.483075711","0.005967006","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"500","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.031476132","0.001926625","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"501","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.08186387","0.006879586","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"502","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.266429797","0.008432733","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"503","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.377596209","0.003421838","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"504","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.18099793","0.032083105","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"505","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.23519189","0.014547936","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"506","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.520534438","0.014202274","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"507","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.430280277","0.010608954","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"508","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.478371879","0.003532464","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"509","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.224168667","0.001732252","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"510","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.226471341","0.007116142","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"511","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.266864667","0.001890576","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"512","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.308391259","0.008802007","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"513","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.500987175","0.003427328","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"514","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.523824878","0.007296689","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"515","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.303335613","0.004814008","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"516","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.466425808","0.003614731","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"517","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.659699246","0.020353877","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"518","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.366872083","0.010738919","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"519","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.427770866","0.004520914","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"520","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.429307297","0.007314092","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"521","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.640136165","0.013367898","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"522","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.920057215","0.020573945","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"523","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.955511445","0.019000657","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"524","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.116410352","0.047278268","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"525","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.342677014","0.006781507","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"526","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.220348952","0.01172231","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"527","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.536967417","0.002943745","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"528","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.370808174","0.005802932","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"529","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.154854162","0.009903033","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"530","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.040094457","0.028444379","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"531","Bennett et al. 2017","2017","Field","Field","Greenhouse","-0.298178737","0.010317559","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"532","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.817444897","0.010506929","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"533","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.224768247","0.018999449","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"534","Bennett et al. 2017","2017","Field","Field","Greenhouse","0.012270093","0.013682974","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"535","Orozco-Aceves,2017","2017","Field","Field","Greenhouse","0.138586163","0.47830758","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"536","Orozco-Aceves,2017","2017","Field","Field","Greenhouse","0.083381609","0.275080359","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"537","Orozco-Aceves,2017","2017","Field","Field","Greenhouse","0.279171383","0.273853832","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"538","Orozco-Aceves,2017","2017","Field","Field","Greenhouse","0.391280473","0.16985623","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"539","Jin et al. 2020","2020","Field","Field","Greenhouse","-0.085954361","0.071912546","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"540","Liang et al. 2020","2020","Field","Field","Field","-0.026625288","0.039108099","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"541","Liang et al. 2020","2020","Field","Field","Field","-0.308751986","0.092786503","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
