"omitted_study","estimate","se","ci_low","ci_high","statistic","df","p_value","tau2"
"Dickie et al. 2007||2007","0.0008904454007162321","0.09545709433279904","-0.1883024122316001","0.19008330303303256","0.009328226539263884","109","0.9925743116964879","0.2051758003114968"
"Domínguez-Begines et al. 2021||2021","-0.0024717205135160944","0.09313470808305163","-0.18706168410022203","0.18211824307318983","-0.026539198590840814","109","0.9788757963724732","0.20537494894086075"
"Ehlers and Thompson 2004||2004","-0.010114113696762995","0.09562130651206402","-0.19963243452980128","0.1794042071362753","-0.10577259468303701","109","0.9159571922956498","0.20520079120582785"
"Gao 2012||2012","-0.002631344201926087","0.09314780138806877","-0.18724725829350922","0.18198456988965703","-0.02824912840361612","109","0.9775151108382533","0.20545586476633476"
"Gillespie and Allen 2006||2006","-0.0014561822566838275","0.09312671322396823","-0.18603030029260145","0.18311793577923377","-0.015636568781094345","109","0.9875529169577836","0.20526048458181623"
"Gomez-Aparicio et al. 2017||2017","-0.004471697448736197","0.09312828656656644","-0.18904893379853366","0.1801055389010613","-0.048016533038433035","109","0.9617909360319117","0.20522976100607165"
"Gundale et al. 2014||2014","-0.004612106295527908","0.09312199265417616","-0.18917686831558458","0.17995265572452876","-0.04952757306918596","109","0.9605895055362016","0.20517287294226125"
"Gustafson and Casper 2004||2004","-0.0035964298139524644","0.0931433588082681","-0.18820353885680008","0.18101067922889513","-0.038611768568015375","109","0.9692705497843352","0.20540527083177515"
"Heinze,2016||2016","-0.018753841531797412","0.09469878781598516","-0.2064437603005333","0.1689360772369385","-0.1980367644012415","109","0.8433851683462112","0.20529142128940264"
"Heinze,2019||2019","-0.001408780547096221","0.09588846672785191","-0.1914566042423771","0.18863904314818464","-0.014691866448282926","109","0.98830486627075","0.20544747907439573"
"Heinze,2020||2020","0.0006810712001766447","0.09581674232966236","-0.18922459706967162","0.19058673947002494","0.0071080604873142595","109","0.994341629102014","0.20539553999970014"
"Heinze-Joshi,2018||2018","-0.004312861595681795","0.09582355748724454","-0.19423203728629537","0.1856063140949318","-0.04500836442287062","109","0.9641829951844778","0.20540176339462335"
"Hemrova,2016||2016","-0.024210868715273785","0.09334425088372622","-0.20921613932062508","0.16079440189007752","-0.2593718251103855","109","0.7958375978481081","0.20328873403230585"
"Holah and Alexander 1999||1999","-0.002507552062528056","0.09314400732991449","-0.18711594645419521","0.1821008423291391","-0.02692123878293479","109","0.9785717803563203","0.20543108433541338"
"Huangfu et al. 2022||2022","-0.0029424804976143346","0.09314833011095558","-0.18755944250077017","0.1816744815055415","-0.03158919214235336","109","0.9748574327546305","0.20545927188017132"
"Jiang et al. 2022||2022","-0.0027619787442898667","0.09622430688069193","-0.1934754267042478","0.18795146921566805","-0.028703545224954764","109","0.9771535172816279","0.2075029361379484"
"Jiang, 2010||2010","0.005574916172787999","0.09546899905653229","-0.18364153623494192","0.1947913685805179","0.05839504161436524","109","0.9535408850857469","0.20512153826932378"
"Jin et al. 2020||2020","-0.002569101487628242","0.09305916605597167","-0.1870093432325529","0.18187114025729642","-0.027607183650055725","109","0.9780259341511737","0.20492611350959924"
"Kardol et al. 2006||2006","-0.00453489629921367","0.09313230934060854","-0.18912010565638113","0.1800503130579538","-0.04869305111535892","109","0.961253024318665","0.20524512086117727"
"Ke et al. 2021||2021","-0.0029456541873904836","0.09314825166267965","-0.1875624607086138","0.18167115233383282","-0.03162329012956317","109","0.9748303025030263","0.20545876912646954"
"Kim et al. 2015||2015","-0.0026121073617274572","0.09314579637980097","-0.18722404759210712","0.1819998328686522","-0.028043212503939714","109","0.9776789660520548","0.2054436852382503"
"Kiniry et al. 2020||2020","0.00500651714620258","0.09276113381710699","-0.1788430343903989","0.18885606868280408","0.05397214264407017","109","0.9570561570110159","0.2007737825723785"
"Knevel et al. 2004||2004","-0.0078013341669229104","0.09300651845740386","-0.19213723008307348","0.17653456174922766","-0.08387943443443537","109","0.9333061487650992","0.2036207576281079"
"Kuebbing et al. 2016||2016","-0.002059997200598144","0.09310617792374704","-0.18659341493908538","0.18247342053788906","-0.022125247180538973","109","0.9823884994157851","0.20518784664813253"
"Kueffer 2010||2010","-0.005615812537318117","0.09307325212262911","-0.19008397240841607","0.17885234733377986","-0.06033755573426161","109","0.9519972814610556","0.20469791081918404"
"Kulmatiski et al. 2006||2006","0.031853488013408385","0.08867417679755119","-0.14389584757848317","0.20760282360529997","0.35921943866625267","109","0.7201258707814322","0.19975843264636212"
"Kulmatiski et al. 2011 SBB||2011","-0.004667581921404499","0.09311030587537779","-0.18920918112582308","0.17987401728301405","-0.050129594973640834","109","0.9601108620186493","0.205095176474111"
"Kulmatiski, unpubl. Data||2008","0.033651292943237474","0.08803504538381153","-0.14083130496495277","0.20813389085142775","0.3822488282538615","109","0.7030210816197981","0.19925765050196656"
"Lalibert_x0001_e et al. 2015||2015","0.005863406453188294","0.09267673835827141","-0.17781887602771967","0.18954568893409623","0.06326729400555112","109","0.9496695350895897","0.1997243854693864"
"Lance et al. 2020||2020","-0.000389014159899298","0.09586465863952577","-0.190389650998125","0.18961162267832637","-0.004057951756361904","109","0.9967696493727195","0.2054302817313826"
"Larios et al. 2015||2015","-0.0036932431070518653","0.09314184709036878","-0.18829735597416936","0.18091086976006565","-0.03965181304026083","109","0.9684432549503645","0.20538977300570815"
"Le Roux et al. 2018||2018","-0.016910258720452803","0.09197860364087133","-0.19920886088801745","0.16538834344711187","-0.1838499178186981","109","0.8544727792268786","0.19053816925753128"
"Li et al. 2011 SASB||2011","-0.006413065018712131","0.09285650404481516","-0.19045163724611996","0.1776255072086957","-0.06906425225331556","109","0.9450650168735926","0.20318938933239467"
"Li et al. 2011 SAS||2011","-0.011327533644293843","0.09273706677585167","-0.19512938508755312","0.17247431779896544","-0.12214677515812354","109","0.9030076929695097","0.2001128522337833"
